 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
    0.0000    1.0000   16.0000   16.0000    4.3633    0.7185    4.4949    0.0000  1.0000E-10      0.0000  1.8861E+03
    0.5756    1.0000   15.9915   15.9915    4.3740    0.7295    4.4920    0.0000  1.0000E-10      0.0000  1.8337E+03
    1.1515    1.0000   15.9826   15.9826    4.3857    0.7407    4.4893    0.0000  1.0000E-10     -0.0004  1.7813E+03
    1.7279    1.0000   15.9732   15.9732    4.3983    0.7521    4.4868    0.0000  1.0000E-10     -0.0014  1.7283E+03
    2.3048    1.0000   15.9632   15.9632    4.4119    0.7638    4.4843    0.0000  1.0000E-10     -0.0029  1.6744E+03
    2.8822    1.0000   15.9526   15.9526    4.4265    0.7760    4.4819    0.0000  1.0000E-10     -0.0050  1.6191E+03
    3.4601    1.0000   15.9413   15.9413    4.4420    0.7887    4.4794    0.0000  1.0000E-10     -0.0078  1.5621E+03
    4.0385    1.0000   15.9292   15.9292    4.4584    0.8021    4.4768    0.0000  1.0000E-10     -0.0114  1.5031E+03
    4.6176    1.0000   15.9161   15.9161    4.4758    0.8163    4.4740    0.0000  1.0000E-10     -0.0160  1.4417E+03
    5.1973    1.0000   15.9020   15.9020    4.4941    0.8315    4.4711    0.0000  1.0000E-10     -0.0216  1.3778E+03
    5.7777    1.0000   15.8867   15.8867    4.5133    0.8477    4.4678    0.0000  1.0000E-10     -0.0285  1.3109E+03
    6.3589    1.0000   15.8701   15.8701    4.5334    0.8651    4.4641    0.0000  1.0000E-10     -0.0369  1.2409E+03
    6.9410    1.0000   15.8518   15.8518    4.5544    0.8840    4.4599    0.0000  1.0000E-10     -0.0471  1.1674E+03
    7.5239    1.0000   15.8317   15.8317    4.5763    0.9048    4.4549    0.0000  1.0000E-10     -0.0593  1.0896E+03
    8.1079    1.0000   15.8094   15.8094    4.5990    0.9280    4.4490    0.0000  1.0000E-10     -0.0741  1.0068E+03
    8.6930    1.0000   15.7845   15.7845    4.6225    0.9545    4.4416    0.0000  1.0000E-10     -0.0919  9.1769E+02
    9.2794    1.0000   15.7565   15.7565    4.6468    0.9858    4.4321    0.0000  1.0000E-10     -0.1135  8.2046E+02
    9.8673    1.0000   15.7246   15.7246    4.6718    1.0239    4.4193    0.0000  1.0000E-10     -0.1399  7.1316E+02
   10.3620    1.0000   15.6937   15.6937    4.6932    1.0636    4.4048    0.0000  1.0000E-10     -0.1673  6.1381E+02
   10.7639    1.0000   15.6650   15.6650    4.7108    1.1028    4.3896    0.0000  1.0000E-10     -0.1942  5.2691E+02
   11.0996    1.0000   15.6378   15.6378    4.7256    1.1419    4.3737    0.0000  1.0000E-10     -0.2207  4.5075E+02
   11.6602    1.0000   15.5869   15.5869    4.8109    1.1216    4.4052    0.0000  1.0000E-10     -0.2722  4.5317E+02
   11.6627    1.0000   15.5866   15.5866    4.8137    1.1152    4.4091    0.0000  1.0000E-10     -0.2725  4.6250E+02
   11.6627    2.0000   15.5866   15.5866    4.8137    1.1106    4.4114    3.9204  1.0000E-10     -0.2725  6.2513E+02
   11.6637    2.0000   15.5866   15.5864    4.8168    1.1518    4.3915    3.9239  1.0000E-10     -0.2725  5.4685E+02
   11.6648    2.0000   15.5866   15.5862    4.8199    1.1930    4.3717    3.9274  1.0000E-10     -0.2725  4.7648E+02
   11.6658    2.0000   15.5866   15.5861    4.8229    1.2343    4.3519    3.9309  1.0000E-10     -0.2725  4.1359E+02
   11.6668    2.0000   15.5866   15.5859    4.8260    1.2755    4.3320    3.9344  1.0000E-10     -0.2725  3.5772E+02
   11.6679    2.0000   15.5866   15.5857    4.8291    1.3167    4.3122    3.9378  1.0000E-10     -0.2725  3.0836E+02
   11.6689    2.0000   15.5866   15.5855    4.8322    1.3579    4.2924    3.9413  1.0000E-10     -0.2725  2.6498E+02
   11.6700    2.0000   15.5866   15.5853    4.8353    1.3991    4.2725    3.9448  1.0000E-10     -0.2725  2.2704E+02
   11.6710    2.0000   15.5866   15.5851    4.8383    1.4403    4.2527    3.9483  1.0000E-10     -0.2725  1.9400E+02
   11.6720    2.0000   15.5866   15.5849    4.8414    1.4815    4.2329    3.9517  1.0000E-10     -0.2725  1.6536E+02
   11.6731    2.0000   15.5866   15.5846    4.8445    1.5227    4.2130    3.9552  1.0000E-10     -0.2725  1.4062E+02
   11.6741    2.0000   15.5866   15.5844    4.8476    1.5640    4.1932    3.9587  1.0000E-10     -0.2725  1.1934E+02
   11.6751    2.0000   15.5866   15.5841    4.8506    1.6052    4.1733    3.9622  1.0000E-10     -0.2725  1.0108E+02
   11.6762    2.0000   15.5866   15.5838    4.8537    1.6464    4.1535    3.9657  1.0000E-10     -0.2725  8.5471E+01
   11.6772    2.0000   15.5866   15.5834    4.8568    1.6876    4.1337    3.9691  1.0000E-10     -0.2725  7.2157E+01
   11.6782    2.0000   15.5866   15.5830    4.8599    1.7288    4.1138    3.9726  1.0000E-10     -0.2725  6.0830E+01
   11.6793    2.0000   15.5866   15.5826    4.8630    1.7700    4.0940    3.9761  1.0000E-10     -0.2725  5.1215E+01
   11.6803    2.0000   15.5866   15.5822    4.8660    1.8112    4.0742    3.9796  1.0000E-10     -0.2725  4.3069E+01
   11.6813    2.0000   15.5866   15.5817    4.8691    1.8525    4.0543    3.9831  1.0000E-10     -0.2725  3.6180E+01
   11.6824    2.0000   15.5866   15.5812    4.8722    1.8937    4.0345    3.9865  1.0000E-10     -0.2725  3.0363E+01
   11.6834    2.0000   15.5866   15.5806    4.8753    1.9349    4.0147    3.9900  1.0000E-10     -0.2725  2.5458E+01
   11.6844    2.0000   15.5866   15.5799    4.8784    1.9761    3.9948    3.9935  1.0000E-10     -0.2725  2.1328E+01
   11.6855    2.0000   15.5866   15.5793    4.8814    2.0173    3.9750    3.9970  1.0000E-10     -0.2725  1.7855E+01
   11.6860    4.0000   15.5866   15.5789    4.8831    2.0393    3.9644    3.9988  1.0000E-10     -0.2725  1.6236E+01
   11.6991    4.0000   15.5866   15.5689    4.8838    2.0630    3.9527    4.0108  1.0000E-10     -0.2725  1.4247E+01
   11.7028    4.0000   15.5866   15.5660    4.8840    2.0894    3.9395    4.0142  1.0000E-10     -0.2725  1.2612E+01
   11.7056    4.0000   15.5866   15.5636    4.8841    2.1195    3.9246    4.0167  1.0000E-10     -0.2725  1.1008E+01
